user,problem_id,start_date,end_date,appropriateness,inappropriate_nodes
E4,9tNo6,2014-12-26 20:18:07,2014-12-26 20:18:34,2,"[23, 24, 25]"
SE3,b4ejO,2014-12-27 05:35:43,2014-12-27 05:36:21,2,"[22, 23, 25, 26, 27]"
SE6,nrNsl,2015-01-22 07:16:00,2015-01-22 07:16:18,3,[]
SE5,wlbEr,2014-12-18 06:33:42,2014-12-18 06:34:17,2,"[10, 11, 12, 13]"
SE5,ZLfld,2014-12-18 06:27:37,2014-12-18 06:27:50,4,[]
E1,qUGBo,2015-02-20 12:44:43,2015-02-20 12:45:27,1,"[26, 27, 28]"
SE9,pVzBY,2015-01-02 02:19:47,2015-01-02 02:20:08,2,"[12, 13]"
SE3,ZGlDS,2014-12-25 11:03:16,2014-12-25 11:03:57,2,"[20, 21, 22, 23, 24, 25, 26]"
SE9,WA29W,2015-01-02 02:20:57,2015-01-02 02:21:11,4,[]
SE3,PXXCT,2014-12-25 11:24:47,2014-12-25 11:25:32,1,"[20, 21, 22, 23, 24, 25, 26]"
SE8,Y9t3t,2014-12-24 22:49:25,2014-12-24 22:49:46,1,"[23, 24, 25, 26]"
SE1,kGbCK,2014-12-19 12:38:44,2014-12-19 12:38:53,4,[]
NE1,mcKN3,2014-12-25 04:12:48,2014-12-25 04:13:53,1,"[8, 9, 10, 12, 22, 23, 24]"
SE6,m7MAu,2015-01-22 07:23:33,2015-01-22 07:24:04,2,[24]
E5,KFbAE,2014-12-31 00:20:50,2014-12-31 00:21:21,1,"[26, 27]"
SE5,qUGBo,2014-12-18 06:27:52,2014-12-18 06:28:07,4,[]
SE8,s5oBc,2014-12-24 22:53:52,2014-12-24 22:54:05,4,[]
E2,PRcaf,2014-12-26 01:33:25,2014-12-26 01:33:38,1,"[23, 24]"
SE8,wlbEr,2014-12-24 22:27:56,2014-12-24 22:28:26,2,"[14, 15]"
SE5,dS6ka,2014-12-18 06:26:08,2014-12-18 06:26:17,5,[]
SE7,qUGBo,2015-01-02 02:41:16,2015-01-02 02:42:40,4,[]
NE4,mZ5zR,2014-12-24 13:07:18,2014-12-24 13:07:25,4,[]
SE6,VEDV0,2015-01-22 07:17:55,2015-01-22 07:18:19,3,[16]
SE7,pVzBY,2015-01-02 02:17:59,2015-01-02 02:18:54,2,"[11, 12]"
E1,2flFc,2015-02-20 12:50:32,2015-02-20 12:51:26,2,"[9, 10, 11]"
E1,FZkFk,2015-02-19 09:18:11,2015-02-19 09:19:07,2,"[12, 13]"
SE5,jP8Dj,2014-12-18 06:25:52,2014-12-18 06:26:07,4,[]
SE6,tOfjr,2015-01-22 07:24:47,2015-01-22 07:25:03,2,[15]
NE1,SiNB1,2014-12-25 04:14:19,2014-12-25 04:14:52,2,"[20, 21, 25]"
E2,ZLfld,2014-12-26 01:37:23,2014-12-26 01:37:44,2,"[4, 5, 7, 8, 9, 10, 11]"
SE3,VEDV0,2015-01-13 21:23:48,2015-01-13 21:24:18,4,[]
SE2,YmRTB,2014-12-11 02:01:05,2014-12-11 02:01:15,5,[]
SE5,twrJM,2014-12-18 07:00:06,2014-12-18 07:00:36,4,[]
SE9,IZ6Jo,2015-01-02 02:02:16,2015-01-02 02:02:32,5,[]
SE6,s5oBc,2015-01-22 07:10:19,2015-01-22 07:10:49,3,[]
SE8,XvXUW,2014-12-24 22:34:15,2014-12-24 22:34:24,5,[]
SE4,ZGlDS,2014-12-19 03:05:36,2014-12-19 03:05:54,1,"[24, 25, 26]"
SE1,jP8Dj,2014-12-18 15:57:28,2014-12-18 15:58:13,2,"[3, 4, 7]"
SE1,XBCNz,2014-12-18 15:49:05,2014-12-18 15:49:56,2,"[23, 24, 25, 26, 27, 28, 29]"
E3,aDzn0,2015-02-17 08:24:50,2015-02-17 08:25:22,5,[]
E2,s5oBc,2014-12-19 01:57:19,2014-12-19 01:57:36,5,[]
SE2,dH82r,2014-12-11 02:01:27,2014-12-11 02:01:37,1,"[27, 28]"
SE7,Ha0lR,2015-01-02 03:16:02,2015-01-02 03:16:16,5,[]
SE9,jP8Dj,2014-12-25 09:44:14,2014-12-25 09:44:32,2,[10]
SE2,gcKcy,2014-12-11 02:03:45,2014-12-11 02:03:59,1,"[13, 14, 28]"
SE2,merhN,2014-12-11 01:57:00,2014-12-11 01:57:10,5,[]
SE2,dS6ka,2014-12-11 01:54:05,2014-12-11 01:54:17,5,[]
E4,1wlhA,2014-12-26 20:41:39,2014-12-26 20:41:59,4,[]
SE9,twrJM,2015-01-02 02:03:44,2015-01-02 02:04:07,2,[24]
NE2,b4ejO,2015-01-16 12:24:48,2015-01-16 12:25:07,2,"[15, 16, 17]"
E4,PXXCT,2014-12-26 20:34:31,2014-12-26 20:34:56,2,"[1, 2, 3, 4, 5, 6, 7, 20, 21, 22, 23, 24, 25, 26]"
NE1,aDzn0,2014-12-25 04:57:07,2014-12-25 04:57:41,1,"[8, 9, 10, 11, 12, 13, 14, 15, 16]"
SE1,twrJM,2014-12-19 00:03:51,2014-12-19 00:04:07,4,[]
SE7,TCinA,2015-01-02 02:16:14,2015-01-02 02:16:38,2,"[25, 26, 27, 28]"
E4,9p5qj,2014-12-26 20:11:21,2014-12-26 20:11:45,1,"[3, 4, 13, 14, 15, 16, 17, 22, 23, 24]"
SE3,8EKE6,2015-01-13 21:26:16,2015-01-13 21:26:37,4,[]
SE9,1Y2UO,2014-12-25 09:47:34,2014-12-25 09:47:57,5,[]
SE8,9jcD1,2014-12-24 22:48:43,2014-12-24 22:48:57,5,[]
SE2,PXXCT,2014-12-11 02:02:34,2014-12-11 02:02:43,5,[]
SE7,KFbAE,2015-01-02 03:01:24,2015-01-02 03:01:59,4,[]
NE3,WA29W,2015-01-26 18:57:56,2015-01-26 18:58:12,3,[]
E5,9tNo6,2014-12-31 02:07:31,2014-12-31 02:08:21,2,[17]
NE2,jFWoh,2015-01-16 12:40:05,2015-01-16 12:40:30,1,"[2, 3, 4]"
E4,K7z8B,2014-12-26 20:41:17,2014-12-26 20:41:38,2,"[1, 2, 3, 4, 5, 6, 16, 19, 20, 21, 26]"
NE4,2oJdf,2014-12-24 12:58:27,2014-12-24 12:58:35,4,[]
NE3,XE5oE,2015-01-26 19:12:26,2015-01-26 19:12:51,3,[]
SE4,jCdZF,2014-12-19 03:33:56,2014-12-19 03:34:15,1,"[21, 22]"
E4,OXAWb,2014-12-26 20:36:19,2014-12-26 20:36:43,1,"[9, 10, 11, 12, 14, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
NE4,kGbCK,2014-12-24 12:50:43,2014-12-24 12:50:50,4,[]
NE4,hHWL3,2014-12-24 12:50:32,2014-12-24 12:50:42,4,[]
SE3,5DsLp,2014-12-26 23:48:07,2014-12-26 23:48:20,5,[]
SE8,2oJdf,2014-12-24 22:44:58,2014-12-24 22:45:20,4,[]
SE4,hNGiv,2014-12-19 03:26:38,2014-12-19 03:27:09,1,"[29, 30]"
SE4,1wlhA,2014-12-19 03:26:20,2014-12-19 03:26:36,1,"[22, 23, 25]"
E5,SiNB1,2015-01-01 00:34:10,2015-01-01 00:34:36,5,[]
NE4,twrJM,2014-12-24 12:49:17,2014-12-24 12:49:30,4,[]
NE2,UPFkK,2015-01-16 12:43:06,2015-01-16 13:27:32,2,"[24, 25, 26]"
NE2,Y9t3t,2015-01-16 12:25:25,2015-01-16 12:25:45,1,"[23, 24, 25, 26]"
NE2,AHATe,2015-01-16 12:19:55,2015-01-16 12:21:00,3,[]
NE3,WPHOw,2015-01-26 18:58:24,2015-01-26 19:02:42,3,[]
SE2,KFbAE,2014-12-11 02:06:10,2014-12-11 02:06:24,1,"[26, 27]"
NE3,WjN7e,2015-01-26 19:13:17,2015-01-26 19:13:33,3,[]
E1,mZ5zR,2015-02-21 00:54:27,2015-02-21 00:54:50,5,[]
SE1,ZLfld,2014-12-18 15:44:32,2014-12-18 15:45:12,4,[]
SE6,wlbEr,2015-01-22 03:42:13,2015-01-22 03:42:35,3,[]
SE5,jFWoh,2014-12-18 07:02:13,2014-12-18 07:03:13,2,"[12, 13, 27]"
E1,4nC7q,2015-02-19 09:05:35,2015-02-19 09:08:10,5,[]
NE4,WA29W,2014-12-24 12:52:36,2014-12-24 12:52:50,3,[]
NE4,88XpX,2014-12-24 12:56:53,2014-12-24 12:57:05,4,[]
SE1,D8g0X,2014-12-19 12:32:01,2014-12-19 12:32:49,2,"[14, 15, 16, 20, 21, 22, 23]"
E2,kGbCK,2014-12-26 01:28:30,2014-12-26 01:28:39,5,[]
E2,wlbEr,2014-12-26 01:31:44,2014-12-26 01:32:15,4,[]
NE1,XE5oE,2014-12-25 04:56:28,2014-12-25 04:57:06,2,"[15, 16, 17]"
E2,XBCNz,2014-12-19 01:53:35,2014-12-19 01:53:47,4,[]
SE4,bjMXa,2014-12-19 03:03:30,2014-12-19 03:03:54,1,"[17, 18]"
SE5,zvXPn,2014-12-18 07:07:43,2014-12-18 07:07:54,4,[]
E4,2OXqf,2014-12-26 20:32:41,2014-12-26 20:33:00,2,"[9, 10, 18, 19, 20, 21, 22, 23]"
E2,aDzn0,2014-12-26 01:33:39,2014-12-26 01:33:49,5,[]
SE4,nA6kb,2014-12-19 03:20:49,2014-12-19 03:21:21,1,"[16, 17, 18, 19, 20, 21, 28, 29]"
SE7,2OXqf,2015-01-02 02:46:21,2015-01-02 02:46:48,4,[]
SE2,m7MAu,2014-12-11 01:49:59,2014-12-11 01:50:10,5,[]
NE2,dIbfh,2015-01-16 12:06:28,2015-01-16 12:06:49,1,"[24, 25, 26]"
NE3,fXA7k,2015-01-26 18:09:08,2015-01-26 18:11:58,3,[]
SE7,fXA7k,2015-01-02 03:05:54,2015-01-02 03:06:29,5,[]
SE9,pqMDD,2015-01-02 02:21:52,2015-01-02 02:22:10,2,"[14, 15]"
SE7,s5Vk6,2015-01-02 03:16:24,2015-01-02 03:16:37,5,[]
SE2,gKPb4,2014-12-11 02:01:37,2014-12-11 02:02:15,2,"[11, 12]"
SE7,WA29W,2015-01-02 02:45:34,2015-01-02 02:46:03,4,[]
SE9,jCdZF,2015-01-02 02:17:14,2015-01-02 02:17:29,4,[]
E4,I9QTc,2014-12-26 20:33:01,2014-12-26 20:33:20,2,"[1, 2, 3, 4, 5, 6, 7, 8, 27]"
SE2,1Y2UO,2014-12-11 02:00:45,2014-12-11 02:00:54,5,[]
SE2,LeOzW,2014-12-11 01:51:27,2014-12-11 01:51:48,2,"[11, 12]"
SE3,jP8Dj,2014-12-26 03:05:11,2014-12-26 03:05:29,4,[]
SE6,FZkFk,2015-01-22 07:11:34,2015-01-22 07:12:04,2,"[12, 13]"
E4,2oJdf,2014-12-26 20:35:27,2014-12-26 20:35:49,2,"[9, 10, 11, 12, 13, 14]"
NE4,9nSEk,2014-12-24 12:50:21,2014-12-24 12:50:31,4,[]
NE3,qrBZs,2015-01-26 18:17:53,2015-01-26 18:18:04,3,[]
NE3,ZLfld,2015-01-26 19:14:21,2015-01-26 19:14:33,3,[]
NE1,1wlhA,2014-12-25 04:29:22,2014-12-25 04:29:59,2,"[22, 23, 25]"
NE2,pqMDD,2015-01-16 11:57:29,2015-01-16 11:57:51,3,[]
NE1,b4ejO,2014-12-25 05:15:04,2014-12-25 05:15:30,2,"[21, 22, 23, 25, 26, 27]"
NE4,XBCNz,2014-12-24 13:02:45,2014-12-24 13:02:56,4,[]
SE4,TCinA,2014-12-19 03:08:40,2014-12-19 03:08:56,1,"[23, 24, 25, 26, 27, 28]"
SE6,SiNB1,2015-01-22 03:42:50,2015-01-22 03:43:48,2,[13]
NE1,pqMDD,2014-12-25 04:33:55,2014-12-25 04:34:12,5,[]
NE3,Y9t3t,2015-01-26 19:20:42,2015-01-26 19:20:56,3,[]
E1,tOfjr,2015-02-19 07:36:47,2015-02-19 07:38:23,4,[]
SE3,LeOzW,2014-12-25 11:06:27,2014-12-25 11:07:03,1,"[9, 10, 11, 12, 13, 14]"
E3,nA6kb,2015-02-17 08:25:23,2015-02-17 08:25:57,5,[]
SE5,Z2nOq,2014-12-18 06:59:44,2014-12-18 07:00:05,4,[]
NE3,IZ6Jo,2015-01-26 18:16:05,2015-01-26 18:16:18,3,[]
SE2,D8g0X,2014-12-11 01:41:59,2014-12-11 01:42:17,1,"[18, 19]"
E4,s5oBc,2014-12-26 20:16:19,2014-12-26 20:16:49,1,"[7, 8, 9, 10, 11]"
E3,XE5oE,2015-03-01 05:23:13,2015-03-01 05:23:33,4,[]
NE1,s5Vk6,2014-12-25 04:27:35,2014-12-25 04:29:21,5,[]
NE3,9jcD1,2015-01-26 19:11:14,2015-01-26 19:11:33,2,"[12, 13, 14, 15]"
SE1,oTqSm,2014-12-18 15:47:49,2014-12-18 15:48:15,5,[]
SE6,s4CVl,2015-01-22 03:36:11,2015-01-22 03:36:54,1,"[9, 10]"
SE8,sZs9e,2014-12-24 22:40:59,2014-12-24 22:41:48,1,"[11, 12, 13]"
NE2,aDzn0,2015-01-16 12:41:44,2015-01-16 12:42:27,3,[]
NE3,2oJdf,2015-01-26 18:04:34,2015-01-26 18:04:46,3,[]
SE5,2oJdf,2014-12-18 07:01:29,2014-12-18 07:01:46,3,[]
NE4,cV2Wj,2014-12-24 13:00:32,2014-12-24 13:00:45,4,[]
E3,XBCNz,2015-03-01 03:06:23,2015-03-01 03:06:37,5,[]
SE1,UPFkK,2014-12-18 15:53:43,2014-12-18 15:54:24,4,[]
SE2,oTqSm,2014-12-11 01:41:21,2014-12-11 01:41:31,5,[]
NE1,KFbAE,2014-12-25 05:10:17,2014-12-25 05:10:53,1,"[11, 12, 13, 14, 15, 28]"
SE2,b4ejO,2014-12-11 01:39:32,2014-12-11 01:39:43,4,[]
SE1,moWjD,2014-12-19 10:38:24,2014-12-19 10:38:45,2,"[27, 28]"
SE9,hNGiv,2015-01-02 02:07:50,2015-01-02 02:08:09,3,[]
SE2,otedB,2014-12-11 01:46:02,2014-12-11 01:46:11,5,[]
SE6,86MgL,2015-01-22 07:20:45,2015-01-22 07:21:10,4,[]
E3,8EKE6,2015-03-01 03:04:18,2015-03-01 03:04:36,1,"[12, 21, 22]"
SE2,I9QTc,2014-12-11 01:44:38,2014-12-11 01:45:00,5,[]
SE2,7kFNo,2014-12-11 01:51:49,2014-12-11 01:52:02,1,"[20, 21, 22]"
NE3,TCinA,2015-01-26 18:03:52,2015-01-26 18:04:06,3,[]
E4,xAt1k,2014-12-26 20:15:22,2014-12-26 20:15:36,5,[]
SE1,s4CVl,2014-12-19 10:37:36,2014-12-19 10:38:02,2,"[7, 8]"
SE3,PotWa,2015-01-13 21:20:05,2015-01-13 21:20:24,4,[]
SE9,2flFc,2015-01-02 02:22:24,2015-01-02 02:22:38,5,[]
SE8,fXA7k,2014-12-24 22:42:43,2014-12-24 22:43:06,4,[]
NE1,XvXUW,2014-12-25 04:37:19,2014-12-25 04:37:47,2,"[12, 17, 18, 19, 20]"
NE2,X0hrt,2015-01-16 12:38:24,2015-01-16 12:38:46,1,[18]
SE1,1wlhA,2014-12-18 15:45:13,2014-12-18 15:45:39,5,[]
E5,gKPb4,2014-12-31 23:22:44,2014-12-31 23:23:10,1,"[9, 10, 11, 12, 14]"
SE9,Ha0lR,2014-12-25 09:41:03,2014-12-25 09:41:25,2,[28]
E2,9p5qj,2014-12-26 01:36:37,2014-12-26 01:36:47,5,[]
SE7,otedB,2015-01-02 03:20:06,2015-01-02 03:20:28,2,[9]
SE1,tOfjr,2014-12-19 12:28:57,2014-12-19 12:29:15,5,[]
SE2,ZLfld,2014-12-11 01:46:37,2014-12-11 01:46:56,2,"[13, 14, 27]"
SE1,qrBZs,2014-12-19 00:04:07,2014-12-19 00:04:26,5,[]
E5,kGbCK,2014-12-31 00:17:33,2014-12-31 00:18:31,2,[10]
E3,s4CVl,2015-03-01 05:14:25,2015-03-01 05:15:08,1,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
NE3,jP8Dj,2015-01-26 18:02:57,2015-01-26 18:03:16,3,[]
SE8,gKPb4,2014-12-24 22:45:36,2014-12-24 22:45:44,4,[]
SE3,twrJM,2014-12-27 05:37:22,2014-12-27 05:37:36,5,[]
NE2,tOfjr,2015-01-16 11:53:40,2015-01-16 11:54:05,1,[]
E4,WPHOw,2014-12-26 20:03:24,2014-12-26 20:04:20,1,"[17, 18, 25, 26, 27]"
E5,gcKcy,2015-01-01 07:41:32,2015-01-01 07:42:04,2,"[13, 28]"
SE9,pKl8D,2015-01-02 02:20:26,2015-01-02 02:20:39,5,[]
NE3,OXAWb,2015-01-26 18:05:02,2015-01-26 18:05:17,3,[]
SE7,PgveS,2015-01-02 02:44:56,2015-01-02 02:45:28,2,[26]
E2,nrNsl,2014-12-26 01:41:22,2014-12-26 01:41:30,5,[]
NE4,dM5ae,2014-12-24 13:03:46,2014-12-24 13:04:00,3,[]
E3,tOfjr,2015-03-01 05:18:03,2015-03-01 05:18:24,5,[]
NE1,jCdZF,2014-12-25 04:16:38,2014-12-25 04:17:12,2,"[11, 15, 23]"
E4,Z2nOq,2014-12-26 20:16:49,2014-12-26 20:17:11,1,"[1, 2, 3, 4, 5, 6, 7, 8, 28]"
SE7,dH82r,2015-01-02 02:47:11,2015-01-02 02:47:35,4,[]
SE5,gKPb4,2014-12-18 07:59:22,2014-12-18 07:59:52,2,"[9, 10, 11, 14]"
E2,2oJdf,2014-12-19 01:57:36,2014-12-19 01:57:56,4,[]
SE4,LeOzW,2014-12-19 03:12:40,2014-12-19 03:12:56,1,"[10, 11, 14]"
SE7,5CeFg,2015-01-02 03:00:43,2015-01-02 03:01:02,4,[]
E3,mZ5zR,2015-03-01 03:07:07,2015-03-01 03:07:22,5,[]
SE1,dH82r,2014-12-19 13:24:45,2014-12-19 13:24:58,2,"[27, 28]"
NE3,twrJM,2015-01-26 18:04:07,2015-01-26 18:04:18,3,[]
SE5,XBCNz,2014-12-18 06:21:30,2014-12-18 06:22:01,2,"[11, 16, 17]"
NE2,cV2Wj,2015-01-16 12:23:33,2015-01-16 12:23:53,1,"[25, 26, 27, 28]"
E3,9p5qj,2015-03-01 05:16:39,2015-03-01 05:17:02,5,[]
E1,5CeFg,2015-02-17 08:17:32,2015-02-17 08:17:57,4,[]
NE3,xAt1k,2015-01-26 18:01:33,2015-01-26 18:01:55,3,[]
E4,wlbEr,2014-12-26 20:26:24,2014-12-26 20:26:45,2,"[9, 10, 11, 12, 13]"
SE3,tOfjr,2015-01-13 21:19:22,2015-01-13 21:20:04,1,"[12, 13, 15, 16, 17]"
E5,merhN,2015-01-05 01:06:49,2015-01-05 01:07:07,1,"[17, 18]"
NE1,zvXPn,2014-12-25 05:13:12,2014-12-25 05:13:36,5,[]
SE2,PRcaf,2014-12-11 01:47:35,2014-12-11 01:47:46,1,"[23, 24]"
SE6,5DsLp,2015-01-22 07:18:55,2015-01-22 07:19:11,4,[]
E3,I9QTc,2015-03-01 03:05:08,2015-03-01 03:05:26,5,[]
NE3,Z2nOq,2015-01-26 18:01:07,2015-01-26 18:01:33,2,[]
E1,K7z8B,2015-02-20 06:22:04,2015-02-20 06:22:18,5,[]
E3,1Y2UO,2015-03-01 03:08:14,2015-03-01 03:08:34,1,"[18, 19, 20, 21, 22, 23, 24]"
E5,FZkFk,2015-01-05 01:04:50,2015-01-05 01:05:18,2,"[10, 11, 12, 13, 14]"
SE2,K7z8B,2014-12-11 01:54:30,2014-12-11 01:54:51,2,"[19, 20, 21]"
E1,IZ6Jo,2015-02-21 00:57:12,2015-02-21 00:57:31,2,"[25, 26]"
E3,xAt1k,2015-03-01 02:50:26,2015-03-01 02:50:43,5,[]
NE1,Z2nOq,2014-12-25 04:54:32,2014-12-25 04:54:59,1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 28]"
E2,merhN,2014-12-26 01:30:35,2014-12-26 01:30:45,5,[]
SE2,Y9t3t,2014-12-11 01:42:50,2014-12-11 01:43:00,5,[]
SE4,XBCNz,2014-12-19 03:31:05,2014-12-19 03:31:27,1,"[24, 25, 26, 27, 28, 29]"
SE1,YmRTB,2014-12-19 12:28:04,2014-12-19 12:28:56,1,"[23, 24, 27, 28, 29, 30]"
E2,UPFkK,2014-12-19 01:51:05,2014-12-19 01:51:16,5,[]
SE2,SiNB1,2014-12-11 01:48:23,2014-12-11 01:48:33,5,[]
SE3,XvXUW,2014-12-25 11:27:26,2014-12-25 11:28:05,2,"[16, 17, 18, 19, 20, 21, 22]"
NE3,5DsLp,2015-01-26 18:07:06,2015-01-26 18:07:22,3,[]
NE3,hHWL3,2015-01-26 18:15:16,2015-01-26 18:15:36,3,[]
NE3,5CeFg,2015-01-26 18:04:46,2015-01-26 18:05:01,3,[]
E3,merhN,2015-03-01 03:06:38,2015-03-01 03:07:06,3,[]
SE6,ZLfld,2015-01-22 07:14:51,2015-01-22 07:15:15,2,"[14, 15, 16]"
SE3,86MgL,2014-12-26 23:44:39,2014-12-26 23:44:59,4,[]
SE2,TCinA,2014-12-11 01:40:53,2014-12-11 01:41:04,5,[]
E3,88XpX,2015-03-01 05:18:56,2015-03-01 05:19:13,5,[]
SE2,9nSEk,2014-12-11 01:56:27,2014-12-11 01:56:43,1,"[4, 5, 28]"
E3,dIbfh,2015-03-01 03:08:55,2015-03-01 03:09:12,4,[]
E2,bjMXa,2014-12-25 08:39:20,2014-12-25 08:39:47,5,[]
E5,dS6ka,2015-01-01 08:55:42,2015-01-01 09:04:27,4,[]
SE1,cV2Wj,2014-12-18 15:45:40,2014-12-18 15:46:04,5,[]
NE1,K7z8B,2014-12-25 04:20:28,2014-12-25 04:20:54,5,[]
SE9,bjMXa,2015-01-02 02:05:50,2015-01-02 02:06:15,2,"[17, 18]"
E4,mHtKQ,2014-12-26 20:27:22,2014-12-26 20:27:47,1,"[3, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18]"
E2,86MgL,2014-12-26 01:36:12,2014-12-26 01:36:21,5,[]
SE7,Y9t3t,2015-01-02 02:15:04,2015-01-02 02:15:36,1,"[23, 24, 25, 26]"
SE6,nA6kb,2015-01-22 03:49:10,2015-01-22 03:49:37,3,[]
SE2,cV2Wj,2014-12-11 01:38:17,2014-12-11 01:38:42,5,[]
